RIVER,LOCATION,ERECTED,PURPOSE
1,22,1818,1
0,17,1819,1
0,33,1829,0
0,21,1837,1
1,15,1838,1
0,19,1840,1
0,20,1844,0
1,22,1846,1
0,33,1848,0
0,21,1851,1
0,33,1853,2
1,50,1856,1
0,26,1856,1
0,20,1857,2
0,17,1859,1
1,36,1863,2
0,20,1864,2
0,21,1866,1
0,25,1870,1
1,7,1874,2
1,0,1876,1
0,16,1876,1
2,42,1878,2
1,1,1882,2
0,33,1883,2
1,3,1883,2
0,24,1884,2
0,18,1884,1
1,22,1884,1
0,23,1887,1
1,52,1887,2
2,38,1888,2
1,10,1889,1
2,42,1890,1
0,19,1890,1
1,8,1891,1
1,9,1891,2
0,17,1892,1
0,19,1892,0
1,14,1893,1
1,2,1894,1
1,53,1895,1
2,45,1896,1
1,51,1896,1
0,30,1897,2
1,5,1897,2
1,6,1898,2
0,26,1900,1
0,31,1900,1
1,4,1901,2
0,27,1902,1
1,7,1903,2
0,28,1903,2
1,50,1903,2
1,13,1903,2
1,36,1904,2
0,20,1904,2
1,11,1904,2
3,54,1908,1
1,15,1909,1
0,29,1909,1
2,46,1910,2
2,40,1911,1
1,1,1914,2
2,38,1915,2
0,16,1915,1
0,30,1918,2
0,24,1920,2
0,23,1921,3
0,21,1923,1
0,25,1924,1
0,19,1926,1
0,18,1926,1
2,43,1927,1
0,31,1927,1
1,47,1927,1
1,0,1927,1
0,23,1928,1
1,12,1928,1
0,17,1928,1
1,8,1928,1
2,37,1931,1
2,39,1931,1
1,50,1931,1
1,2,1937,1
0,27,1939,1
0,34,1945,1
0,35,1945,2
0,32,1945,1
2,45,1945,1
3,49,1945,1
3,48,1945,2
1,15,1950,1
1,14,1951,1
1,5,1951,1
1,10,1951,1
0,30,1955,1
2,39,1955,1
2,44,1959,1
1,0,1959,1
0,26,1961,1
1,53,1962,1
0,16,1969,1
2,41,1975,1
1,51,1978,1
2,40,1982,1
0,20,1986,1
