RIVER,LOCATION,ERECTED,PURPOSE
1,22,0,1
0,17,0,1
0,33,0,0
0,21,0,1
1,15,0,1
0,19,0,1
0,20,0,0
1,22,0,1
0,33,0,0
0,21,0,1
0,33,0,2
1,50,0,1
0,26,0,1
0,20,0,2
0,17,0,1
1,36,0,2
0,20,0,2
0,21,0,1
0,25,0,1
1,7,1,2
1,0,1,1
0,16,1,1
2,42,1,2
1,1,1,2
0,33,1,2
1,3,1,2
0,24,1,2
0,18,1,1
1,22,1,1
0,23,1,1
1,52,1,2
2,38,1,2
1,10,1,1
2,42,1,1
0,19,1,1
1,8,1,1
1,9,1,2
0,17,1,1
0,19,1,0
1,14,1,1
1,2,1,1
1,53,1,1
2,45,1,1
1,51,1,1
0,30,1,2
1,5,1,2
1,6,1,2
0,26,1,1
0,31,1,1
1,4,1,2
0,27,1,1
1,7,1,2
0,28,1,2
1,50,1,2
1,13,1,2
1,36,1,2
0,20,1,2
1,11,1,2
3,54,1,1
1,15,1,1
0,29,1,1
2,46,1,2
2,40,1,1
1,1,1,2
2,38,1,2
0,16,1,1
0,30,1,2
0,24,1,2
0,23,1,2
0,21,1,1
0,25,1,1
0,19,1,1
0,18,1,1
2,43,1,1
0,31,1,1
1,47,1,1
1,0,1,1
0,23,1,1
1,12,1,1
0,17,1,1
1,8,1,1
2,37,2,1
2,39,2,1
1,50,2,1
1,2,2,1
0,27,2,1
0,34,2,1
0,35,2,2
0,32,2,1
2,45,2,1
3,49,2,1
3,48,2,2
1,15,2,1
1,14,2,1
1,5,2,1
1,10,2,1
0,30,2,1
2,39,2,1
2,44,2,1
1,0,2,1
0,26,2,1
1,53,2,1
0,16,2,1
2,41,2,1
1,51,2,1
2,40,2,1
0,20,2,1
